date,week,positive,positive_smooth,time,S,E,I,R,incidence,predicted_cases,residual
2022-10-24,43,1102,1077.3333333333333,0,99978,11,11,0,5.5,955.9924086130476,121.34092472028567
2022-10-31,44,1009,1119,7,99938.0760222498,12.315172143685091,16.513000814305325,33.095804792252345,6.1575860718425455,1070.2919163750744,48.70808362492562
2022-11-07,45,1246,1268,14,99884.58262456836,16.207170891794153,21.74921267142167,77.46099186847896,8.103585445897076,1408.539303422688,-140.5393034226879
2022-11-14,46,1549,1716.3333333333333,21,99814.21486141974,21.314051169154403,28.613816650479244,135.85727076064586,10.657025584577202,1852.370101318333,-136.03676798499964
2022-11-21,47,2354,2548.6666666666665,28,99721.76810529943,27.99299397154603,37.599996719869274,212.63890400913738,13.996496985773016,2432.8263391953465,115.84032747132005
