time,S,E,I,R
0,99999,1,0,0
1,99998.92530314613,0.6695330278720417,0.3407262857307979,0.06443754027285653
2,99998.76012087867,0.5379942735598886,0.49495199174089843,0.2069328560294511
3,99998.55263468261,0.4905335449175379,0.5709095698933151,0.38592220254324505
4,99998.32301959726,0.47875737726187445,0.6142214099700117,0.584001615465871
5,99998.0796448087,0.4822771235583665,0.6441266173740318,0.7939514502995694
6,99997.82589959675,0.49250738740763367,0.6687450311251253,1.012847984668321
7,99997.56306965953,0.5058386903234399,0.6915094916366119,1.2395821584436684
8,99997.29155009477,0.5207579927972124,0.713878717230292,1.473813195119667
9,99997.01135593557,0.5366364206221522,0.7364794565662645,1.7155281871627803
10,99996.72233738122,0.5532178674791559,0.7595883246844585,1.9648564265445307
11,99996.42427021383,0.5704038227984417,0.7833345566602281,2.2219914066374837
12,99996.11689393596,0.5881622448642035,0.8077858962830681,2.4871579228163743
13,99995.79992746259,0.6064895625192647,0.8329844388347641,2.760598535987806
14,99995.47307599666,0.6253942713872089,0.858962090379148,3.042567641484138
15,99995.1360330927,0.6448907912222585,0.8857464264763487,3.3333296895057263
16,99994.78848200601,0.6649958381552099,0.9133641342941384,3.633158021446263
17,99994.43009572614,0.6857276475741754,0.9418417847009313,3.9423348414698514
18,99994.06053656043,0.7071054390160325,0.9712064238658241,4.261151576577812
19,99993.67945693713,0.7291491471025723,1.0014857322639237,4.589908183390445
20,99993.28649785431,0.7518794651908706,1.0327081926139785,4.9289144877678694
21,99992.88129010738,0.775317675172175,1.0649030921381857,5.278489125181217
22,99992.46345226787,0.7994857467477952,1.0981006989305608,5.638961286331108
23,99992.03259048572,0.8244063911695438,1.1323322348573701,6.010670888137136
24,99991.58829934125,0.8501030047881238,1.1676298153469402,6.393967838494536
25,99991.13016109304,0.8765996695143978,1.2040265512156352,6.789212686119673
26,99990.65774387964,0.9039212721943178,1.2415566741738593,7.196778173887295
27,99990.17060378444,0.9320934163382176,1.2802553430692387,7.617047456043179
28,99989.66828241704,0.9611425255268207,1.3201588698638107,8.050416187461819
29,99989.15030740095,0.9910958147533536,1.3613046812674627,8.49729210292272
30,99988.61619207394,1.0219813311668497,1.4037313183797944,8.958095276407384
31,99988.06543380981,1.0538280366946562,1.4474785821680651,9.433259571221274
32,99987.49751456104,1.0866657708560488,1.4925874961244416,9.923232171863555
33,99986.91190050456,1.1205252786681583,1.5391003259680287,10.428473890686185
34,99986.30804118887,1.1554382638150607,1.5870606419754751,10.949459905229324
35,99985.685369069,1.1914374048072989,1.6365133654046466,11.486680160663143
36,99985.04329900487,1.2285563835290996,1.6875048074706556,12.040639804018678
37,99984.38122771449,1.266829925971443,1.7400827021807193,12.611859657235696
38,99983.6985332179,1.3062938285728438,1.7942962547897385,13.200876698620178
39,99982.99457426458,1.3469849836549928,1.8501961932816664,13.808244558364029
40,99982.26868973699,1.3889414216452654,1.9078348062686326,14.434534034989158
41,99981.52019803863,1.4322023479341814,1.967265988239039,15.080333625091058
42,99980.74839646893,1.476808168537844,2.0285452977116236,15.746250064717167
