year,week,date,tested,positive
2015,23,2015-06-01,60,1
2015,40,2015-09-28,6,14
2015,41,2015-10-05,3,31
2015,42,2015-10-12,28,18
2015,43,2015-10-19,48,16
2015,44,2015-10-26,32,21
2015,45,2015-11-02,40,20
2015,46,2015-11-09,69,23
2015,47,2015-11-16,70,24
2015,48,2015-11-23,66,23
2015,49,2015-11-30,77,40
2015,50,2015-12-07,80,37
2015,51,2015-12-14,103,98
2015,52,2015-12-21,79,108
2015,53,2015-12-28,51,131
2016,1,2016-01-04,130,235
2016,2,2016-01-11,109,204
2016,3,2016-01-18,130,259
2016,4,2016-01-25,150,485
2016,5,2016-02-01,168,547
2016,6,2016-02-08,164,531
2016,7,2016-02-15,126,590
2016,8,2016-02-22,154,612
2016,9,2016-02-29,168,677
2016,10,2016-03-07,152,735
2016,11,2016-03-14,171,1000
2016,12,2016-03-21,112,786
2016,13,2016-03-28,100,741
2016,14,2016-04-04,81,519
2016,15,2016-04-11,70,431
2016,16,2016-04-18,47,232
2016,17,2016-04-25,30,192
2016,18,2016-05-02,13,159
2016,19,2016-05-09,13,114
2016,20,2016-05-16,5,64
2016,21,2016-05-23,8,30
2016,22,2016-05-30,1,23
2016,40,2016-10-03,39,14
2016,41,2016-10-10,64,10
2016,42,2016-10-17,67,14
2016,43,2016-10-24,67,10
2016,44,2016-10-31,68,21
2016,45,2016-11-07,65,22
2016,46,2016-11-14,73,50
2016,47,2016-11-21,82,27
2016,48,2016-11-28,78,63
2016,49,2016-12-05,99,147
2016,50,2016-12-12,136,243
2016,51,2016-12-19,148,414
2016,52,2016-12-26,60,441
2017,1,2017-01-02,99,688
2017,2,2017-01-09,145,949
2017,3,2017-01-16,126,728
2017,4,2017-01-23,106,828
2017,5,2017-01-30,108,866
2017,6,2017-02-06,82,602
2017,7,2017-02-13,60,400
2017,8,2017-02-20,51,457
2017,9,2017-02-27,28,329
2017,10,2017-03-06,42,166
2017,11,2017-03-13,41,98
2017,12,2017-03-20,39,81
2017,13,2017-03-27,11,68
2017,14,2017-04-03,3,64
2017,15,2017-04-10,3,38
2017,16,2017-04-17,3,41
2017,17,2017-04-24,0,49
2017,18,2017-05-01,2,36
2017,19,2017-05-08,1,36
2017,20,2017-05-15,0,49
2017,40,2017-10-02,3,34
2017,41,2017-10-09,42,36
2017,42,2017-10-16,87,22
2017,43,2017-10-23,68,24
2017,44,2017-10-30,65,26
2017,45,2017-11-06,67,35
2017,46,2017-11-13,63,54
2017,47,2017-11-20,70,84
2017,48,2017-11-27,73,78
2017,49,2017-12-04,76,175
2017,50,2017-12-11,95,310
2017,51,2017-12-18,128,813
2017,52,2017-12-25,97,1117
2018,1,2018-01-01,194,2034
2018,2,2018-01-08,239,2387
2018,3,2018-01-15,230,2426
2018,4,2018-01-22,223,2510
2018,5,2018-01-29,156,2230
2018,6,2018-02-05,111,1826
2018,7,2018-02-12,126,1958
2018,8,2018-02-19,106,2540
2018,9,2018-02-26,50,1686
2018,10,2018-03-05,56,2052
2018,11,2018-03-12,69,1703
2018,12,2018-03-19,38,1327
2018,13,2018-03-26,28,1007
2018,14,2018-04-02,9,846
2018,15,2018-04-09,13,594
2018,16,2018-04-16,6,283
2018,17,2018-04-23,1,117
2018,18,2018-04-30,0,68
2018,19,2018-05-07,1,61
2018,20,2018-05-14,2,44
2018,22,2018-05-28,186,0
2018,25,2018-06-18,163,0
2018,40,2018-10-01,0,17
2018,41,2018-10-08,18,18
2018,42,2018-10-15,29,23
2018,43,2018-10-22,43,42
2018,44,2018-10-29,35,48
2018,45,2018-11-05,48,86
2018,46,2018-11-12,57,96
2018,47,2018-11-19,83,111
2018,48,2018-11-26,85,166
2018,49,2018-12-03,61,215
2018,50,2018-12-10,64,284
2018,51,2018-12-17,92,579
2018,52,2018-12-24,45,744
2019,1,2018-12-31,64,1328
2019,2,2019-01-07,125,1906
2019,3,2019-01-14,125,1875
2019,4,2019-01-21,115,2191
2019,5,2019-01-28,160,2491
2019,6,2019-02-04,174,2787
2019,7,2019-02-11,177,2955
2019,8,2019-02-18,95,2073
2019,9,2019-02-25,68,1336
2019,10,2019-03-04,55,913
2019,11,2019-03-11,36,681
2019,12,2019-03-18,32,703
2019,13,2019-03-25,28,511
2019,14,2019-04-01,15,435
2019,15,2019-04-08,1,428
2019,16,2019-04-15,7,320
2019,17,2019-04-22,6,334
2019,18,2019-04-29,7,195
2019,19,2019-05-06,0,92
2019,20,2019-05-13,1,86
2019,40,2019-09-30,0,88
2019,41,2019-10-07,79,116
2019,42,2019-10-14,118,116
2019,43,2019-10-21,241,196
2019,44,2019-10-28,267,258
2019,45,2019-11-04,138,208
2019,46,2019-11-11,138,263
2019,47,2019-11-18,151,590
2019,48,2019-11-25,161,1175
2020,1,2019-12-30,201,2639
2020,2,2020-01-06,204,1728
2020,3,2020-01-13,139,955
2020,4,2020-01-20,89,603
2020,5,2020-01-27,143,618
2020,6,2020-02-03,157,530
2020,7,2020-02-10,133,543
2020,8,2020-02-17,81,532
2020,9,2020-02-24,113,550
2020,10,2020-03-02,245,541
2020,11,2020-03-09,351,396
2020,12,2020-03-16,253,405
2020,13,2020-03-23,214,157
2020,14,2020-03-30,143,74
2020,15,2020-04-06,0,21
2020,16,2020-04-13,0,3
2020,17,2020-04-20,0,7
2020,18,2020-04-27,0,1
2020,19,2020-05-04,0,0
2020,20,2020-05-11,0,0
2020,25,2020-06-15,0,0
2020,26,2020-06-22,0,0
2020,27,2020-06-29,0,0
2020,28,2020-07-06,0,0
2020,29,2020-07-13,0,0
2020,30,2020-07-20,0,0
2020,31,2020-07-27,0,0
2020,32,2020-08-03,0,0
2020,33,2020-08-10,0,0
2020,34,2020-08-17,0,0
2020,35,2020-08-24,0,0
2020,36,2020-08-31,0,0
2020,37,2020-09-07,0,0
2020,38,2020-09-14,0,0
2020,39,2020-09-21,0,0
2020,40,2020-09-28,217,10
2020,41,2020-10-05,221,8
2020,42,2020-10-12,248,22
2020,43,2020-10-19,276,24
2020,44,2020-10-26,272,14
2020,45,2020-11-02,295,15
2020,46,2020-11-09,338,33
2020,47,2020-11-16,382,30
2020,48,2020-11-23,246,25
2020,49,2020-11-30,203,36
2020,50,2020-12-07,267,18
2020,51,2020-12-14,290,23
2020,52,2020-12-21,156,21
2020,53,2020-12-28,96,11
2021,1,2021-01-04,296,20
2021,2,2021-01-11,409,11
2021,3,2021-01-18,320,10
2021,4,2021-01-25,219,11
2021,5,2021-02-01,219,17
2021,6,2021-02-08,169,13
2021,7,2021-02-15,151,20
2021,8,2021-02-22,163,5
2021,9,2021-03-01,146,8
2021,10,2021-03-08,92,6
2021,11,2021-03-15,84,13
2021,12,2021-03-22,84,0
2021,13,2021-03-29,67,2
2021,14,2021-04-05,43,8
2021,15,2021-04-12,70,9
2021,16,2021-04-19,48,14
2021,17,2021-04-26,51,2
2021,18,2021-05-03,39,7
2021,19,2021-05-10,51,14
2021,20,2021-05-17,58,4
2021,21,2021-05-24,0,0
2021,22,2021-05-31,0,0
2021,23,2021-06-07,0,0
2021,24,2021-06-14,0,0
2021,25,2021-06-21,0,0
2021,26,2021-06-28,0,0
2021,27,2021-07-05,0,0
2021,28,2021-07-12,0,0
2021,29,2021-07-19,0,0
2021,30,2021-07-26,0,0
2021,31,2021-08-02,0,0
2021,32,2021-08-09,0,0
2021,33,2021-08-16,0,0
2021,34,2021-08-23,0,0
2021,35,2021-08-30,0,0
2021,36,2021-09-06,0,0
2021,37,2021-09-13,0,0
2021,38,2021-09-20,0,0
2021,39,2021-09-27,0,0
2021,40,2021-10-04,86,177
2021,41,2021-10-11,120,185
2021,42,2021-10-18,84,218
2021,43,2021-10-25,82,178
2021,44,2021-11-01,66,97
2021,45,2021-11-08,87,109
2021,46,2021-11-15,75,129
2021,47,2021-11-22,129,131
2021,48,2021-11-29,95,144
2021,49,2021-12-06,129,154
2021,50,2021-12-13,86,178
2021,51,2021-12-20,68,156
2021,52,2021-12-27,39,133
2022,1,2022-01-03,50,104
2022,2,2022-01-10,96,103
2022,3,2022-01-17,79,71
2022,4,2022-01-24,59,76
2022,5,2022-01-31,76,68
2022,6,2022-02-07,64,74
2022,7,2022-02-14,36,109
2022,8,2022-02-21,70,133
2022,9,2022-02-28,55,162
2022,10,2022-03-07,62,306
2022,11,2022-03-14,87,434
2022,12,2022-03-21,107,596
2022,13,2022-03-28,103,717
2022,14,2022-04-04,99,776
2022,15,2022-04-11,57,896
2022,16,2022-04-18,53,598
2022,17,2022-04-25,35,476
2022,18,2022-05-02,25,417
2022,19,2022-05-09,46,370
2022,20,2022-05-16,45,294
2022,21,2022-05-23,0,155
2022,22,2022-05-30,0,129
2022,23,2022-06-06,0,144
2022,24,2022-06-13,0,112
2022,25,2022-06-20,0,96
2022,26,2022-06-27,0,89
2022,27,2022-07-04,0,92
2022,28,2022-07-11,0,111
2022,29,2022-07-18,0,94
2022,30,2022-07-25,0,92
2022,31,2022-08-01,0,76
2022,32,2022-08-08,0,115
2022,33,2022-08-15,0,95
2022,34,2022-08-22,0,117
2022,35,2022-08-29,0,134
2022,36,2022-09-05,0,166
2022,37,2022-09-12,0,190
2022,38,2022-09-19,1364,34
2022,39,2022-09-26,0,344
2022,40,2022-10-03,0,496
2022,41,2022-10-10,0,646
2022,42,2022-10-17,0,1121
2022,43,2022-10-24,0,1102
2022,44,2022-10-31,0,1009
2022,45,2022-11-07,0,1246
2022,46,2022-11-14,0,1549
2022,47,2022-11-21,0,2354
2022,48,2022-11-28,0,3743
2022,49,2022-12-05,0,5776
2022,50,2022-12-12,0,9962
2022,51,2022-12-19,0,14701
2022,52,2022-12-26,0,11367
2023,1,2023-01-02,0,6030
2023,2,2023-01-09,0,2607
2023,3,2023-01-16,0,1137
2023,4,2023-01-23,0,946
2023,5,2023-01-30,0,875
2023,6,2023-02-06,0,756
2023,7,2023-02-13,0,756
2023,8,2023-02-20,0,1773
2023,9,2023-02-27,0,578
2023,10,2023-03-06,0,680
2023,11,2023-03-13,0,737
2023,12,2023-03-20,0,538
2023,13,2023-03-27,0,385
2023,14,2023-04-03,0,305
2023,15,2023-04-10,0,239
2023,16,2023-04-17,0,184
2023,17,2023-04-24,0,185
2023,18,2023-05-01,0,145
2023,19,2023-05-08,0,107
2023,20,2023-05-15,0,76
2023,21,2023-05-22,0,59
2023,22,2023-05-29,0,58
2023,23,2023-06-05,0,56
2023,24,2023-06-12,0,45
2023,25,2023-06-19,0,66
2023,26,2023-06-26,0,31
2023,27,2023-07-03,0,54
2023,28,2023-07-10,0,63
2023,29,2023-07-17,0,57
2023,30,2023-07-24,0,45
2023,31,2023-07-31,0,65
2023,32,2023-08-07,0,51
2023,33,2023-08-14,0,55
2023,34,2023-08-21,0,52
2023,35,2023-08-28,0,51
2023,36,2023-09-04,0,85
2023,37,2023-09-11,0,87
2023,38,2023-09-18,0,118
2023,39,2023-09-25,0,97
2023,40,2023-10-02,0,116
2023,41,2023-10-09,0,152
2023,42,2023-10-16,0,157
2023,43,2023-10-23,0,178
2023,44,2023-10-30,0,262
2023,45,2023-11-06,0,301
2023,46,2023-11-13,0,350
