model,peak_infectious,time_to_peak,final_susceptible,final_infectious,final_recovered
SEIR,594.145665892089,273,81053.23646127788,503.05275609225856,18120.205100795138
SIRS,1048.224734951272,159,90709.7111365351,183.66853787487523,9106.6203255904
